codetype,code,description,native
Terrestrial Plant,DUCA,Dudleya caespitosa (Coast dudleya),TRUE
Terrestrial Plant,DULA,Dudleya lanceolata (Lanceleaf liveforever),TRUE
Wrack,E,Egregia sp. (feather boa kelp),TRUE
Terrestrial Plant,ELMO,elymus mollis (Pacific dune grass),TRUE
Terrestrial Plant,ENCA,Encelia californica (bush sunflower),TRUE
Terrestrial Plant,ERBL,Erigeron blochmaniae (Blochman's leafy daisy),TRUE
Terrestrial Plant,ERBO,Erigeron bonariensis (Flax-leaved horseweed)*,FALSE
Terrestrial Plant,ERCA,Erigeron canadensis​​​​ (Canadian horseweed),TRUE
Terrestrial Plant,ERCI,Erodium cicutarium (redstem stork's-bill)*,FALSE
Terrestrial Plant,ERER,Ericameria ericoides (mock heather),TRUE
Terrestrial Plant,ERPA,Eriogonum parvifolium (coastal buckwheat),TRUE
Terrestrial Plant,ERXX,Erodium spp. (filaree) *,FALSE
Terrestrial Plant,ESCA,Eschscholzia californica (California Poppy),TRUE
Terrestrial Plant,FRSA,Frankenia salina (alkalai heath),TRUE
Other Cover,GL,glass,
Terrestrial Plant,HASQ,Hazardia squarosa (sawtooth goldenbush),TRUE
Terrestrial Plant,HECU,Heliotropium curassavicum (seaside heliotrope),TRUE
Terrestrial Plant,ISME,Iscoma menziesii (goldenbush),TRUE
Terrestrial Plant,JACA,Jaumea carnosa (Marsh Jaumea),TRUE
Terrestrial Plant,LASE,Lactuca serriola (prickly lettuce)*,FALSE
Terrestrial Plant,LUBI,Lupinus bicolor (bicolor lupine),TRUE
Terrestrial Plant,LUCH,Lupinus chamissonis (bush lupine),TRUE
Terrestrial Plant,LYAR,Lysimachia arvensis (Scarlet pimpernel)*(prevous ANAR),FALSE
Wrack,M,Macrocystis pyrifera (giant kelp),TRUE
Terrestrial Plant,MAIN,Malacothrix incana (Dunedelion),TRUE
Terrestrial Plant,MAPA,Malva parviflora (cheeseweed mallow)*,FALSE
Terrestrial Plant,MAXX,Malva spp. (mallow)*,FALSE
Terrestrial Plant,MEAL,Melilotus albus (white sweetclover) *,FALSE
Terrestrial Plant,MEIN,Melilotus indicus (yellow sweetclover) *,FALSE
Terrestrial Plant,MEXX,unidentified clover species (Melilotus) *,FALSE
Terrestrial Plant,MYLA,Myoporum laetum (myoporum) *,FALSE
Wrack,N,Nereocystis spp. (ribbon kelp),
Terrestrial Plant,NEDE,Nemacaulis denudata (Woolly Heads),TRUE
Wrack,P,Phyllospadix torreyi (surfgrass),TRUE
Terrestrial Plant,PAIN,Parapholis incurva (sickle grass)*,FALSE
Terrestrial Plant,PHRA,Phacelia ramosissima (Branching phacelia),TRUE
Terrestrial Plant,PLCO,plantago coronopus (buck's-horn plantain)*,FALSE
Terrestrial Plant,PLLA,Plantago lanceolata (longleaf plantain)*,FALSE
Terrestrial Plant,PLXX,Plantago spp. *,FALSE
Terrestrial Plant,POAV,Polygonum aviculare (prostrate knotweed)*,FALSE
Wrack,R,other red algae,FALSE
Terrestrial Plant,RASA,Raphanus sativus (Wild Radish)*,FALSE
Terrestrial Plant,RICO,Ricinus communis (castor bean)*,FALSE
Other Cover,RO,fence rope,
Terrestrial Animal,RODENTG,Thomomys bottae (Botta's pocket gopher),TRUE
Terrestrial Animal,RODENTK,Dipodomys heermani arenae (Heerman's kangaroo rat (Lompoc subspecies)),TRUE
Terrestrial Animal,RODENTMX,unidentified mouse species,TRUE
Terrestrial Animal,RODENTX,unidentified rodent species,TRUE
Wrack,S,Sargassum spp.,FALSE
Terrestrial Plant,SAPA,Salicornia pacifica (pacific pickleweed),TRUE
Terrestrial Plant,SAVI,Salicornia virginica (common pickleweed),TRUE
Terrestrial Plant,SCCA,Schoenoplectus californicus (california bulrush),TRUE
Terrestrial Plant,SEBL,"Senecio blochmaniae (Blochman's groundsel, dune ragwort)",TRUE
Terrestrial Plant,SOOL,Sonchus oleraceus (sow thistle) *,FALSE
Terrestrial Plant,SPMA,Spergularia marina (salt sand spurry),TRUE
Other Cover,T,tar,
Terrestrial Plant,TARA,Tamarix ramosissima (salt cedar) *,FALSE
Other Cover,TD,terrestrial debris,
Terrestrial Plant,TETE,Tetragonia tetragonoides (New Zealand spinach)*,FALSE
Other Cover,TR,trash,
Wrack,U,Ulva spp.,FALSE
Other Cover,W,wood (large woody debris),
Other Cover,WA,Water (pool or flooded area),
Wrack,WX,unidentified wrack,TRUE
Terrestrial Plant,XAST,Xanthium strumarium (rough cocklebur)*,FALSE
Wrack,Z,Zostera (eelgrass),TRUE
Other Cover,GR,gravel,
